index,key,value
1998 Q1,NSWMetro,9.0470953969
1998 Q2,NSWMetro,6.962125889799999
1998 Q3,NSWMetro,6.8719630475
1998 Q4,NSWMetro,7.1472926116
1999 Q1,NSWMetro,7.9569228143
1999 Q2,NSWMetro,6.5422432631000005
1999 Q3,NSWMetro,6.3303640784
1999 Q4,NSWMetro,7.50921219
2000 Q1,NSWMetro,7.6624905024
2000 Q2,NSWMetro,6.341801885
2000 Q3,NSWMetro,7.827300649
2000 Q4,NSWMetro,9.579562225899998
2001 Q1,NSWMetro,8.2704883892
2001 Q2,NSWMetro,7.240426634
2001 Q3,NSWMetro,6.6404896461
2001 Q4,NSWMetro,7.1118747783
2002 Q1,NSWMetro,6.8278257096
2002 Q2,NSWMetro,6.4049920352
2002 Q3,NSWMetro,6.6157601335
2002 Q4,NSWMetro,7.2263764749
2003 Q1,NSWMetro,7.5890582523
2003 Q2,NSWMetro,6.334527185900001
2003 Q3,NSWMetro,5.9967475195999995
2003 Q4,NSWMetro,6.612846165300001
2004 Q1,NSWMetro,7.7582674934
2004 Q2,NSWMetro,6.7788356463
2004 Q3,NSWMetro,5.8544516077
2004 Q4,NSWMetro,6.200213827100001
2005 Q1,NSWMetro,7.1638299153
2005 Q2,NSWMetro,5.082203579400001
2005 Q3,NSWMetro,5.6735513547
2005 Q4,NSWMetro,6.0899058008
2006 Q1,NSWMetro,8.525915574
2006 Q2,NSWMetro,6.569684438
2006 Q3,NSWMetro,5.771059328000001
2006 Q4,NSWMetro,6.692897342
2007 Q1,NSWMetro,8.1586575325
2007 Q2,NSWMetro,5.7100824346
2007 Q3,NSWMetro,5.4025429286
2007 Q4,NSWMetro,6.8034937
2008 Q1,NSWMetro,7.8662692994
2008 Q2,NSWMetro,5.616703844700001
2008 Q3,NSWMetro,5.8867639607
2008 Q4,NSWMetro,5.5062984749999995
2009 Q1,NSWMetro,6.7872254196
2009 Q2,NSWMetro,5.3613172195
2009 Q3,NSWMetro,4.6993495426
2009 Q4,NSWMetro,6.2087840697
2010 Q1,NSWMetro,7.148262201800001
2010 Q2,NSWMetro,4.8502174843
2010 Q3,NSWMetro,6.0294895211
2010 Q4,NSWMetro,6.238902535
2011 Q1,NSWMetro,7.5974675006
2011 Q2,NSWMetro,5.815929591500001
2011 Q3,NSWMetro,6.183238766600001
2011 Q4,NSWMetro,5.9290301326999995
2012 Q1,NSWMetro,7.9869310625
2012 Q2,NSWMetro,5.3078709729
2012 Q3,NSWMetro,6.0541116937999995
2012 Q4,NSWMetro,6.0238968728
2013 Q1,NSWMetro,7.0284801217
2013 Q2,NSWMetro,5.8134500297
2013 Q3,NSWMetro,6.3228414263
2013 Q4,NSWMetro,7.1016905301
2014 Q1,NSWMetro,7.8973159874
2014 Q2,NSWMetro,5.9974675568
2014 Q3,NSWMetro,6.0335328619
2014 Q4,NSWMetro,7.1033975236
2015 Q1,NSWMetro,8.7251316209
2015 Q2,NSWMetro,6.9958746449
2015 Q3,NSWMetro,6.294489763
2015 Q4,NSWMetro,6.945476338600001
2016 Q1,NSWMetro,7.373757347200001
2016 Q2,NSWMetro,6.7922336825
2016 Q3,NSWMetro,6.530568025599999
2016 Q4,NSWMetro,7.8782768422
1998 Q1,NSWNthCo,8.5656778903
1998 Q2,NSWNthCo,7.1244683616
1998 Q3,NSWNthCo,4.7168931164
1998 Q4,NSWNthCo,6.2692990649
1999 Q1,NSWNthCo,9.493901336
1999 Q2,NSWNthCo,5.4012013894
1999 Q3,NSWNthCo,5.5426258237
1999 Q4,NSWNthCo,6.383473631699999
2000 Q1,NSWNthCo,8.3370080096
2000 Q2,NSWNthCo,4.9234761714
2000 Q3,NSWNthCo,5.1344912284
2000 Q4,NSWNthCo,6.3898878082
2001 Q1,NSWNthCo,8.259398342599999
2001 Q2,NSWNthCo,5.4426688179000005
2001 Q3,NSWNthCo,5.767428112599999
2001 Q4,NSWNthCo,5.611910074600001
2002 Q1,NSWNthCo,9.50484267
2002 Q2,NSWNthCo,6.0325248872
2002 Q3,NSWNthCo,5.8240364124
2002 Q4,NSWNthCo,6.521765428
2003 Q1,NSWNthCo,8.985047892099999
2003 Q2,NSWNthCo,5.58626359
2003 Q3,NSWNthCo,5.4580921119
2003 Q4,NSWNthCo,6.451381762
2004 Q1,NSWNthCo,8.5624033888
2004 Q2,NSWNthCo,5.7690524682
2004 Q3,NSWNthCo,5.4367937642
2004 Q4,NSWNthCo,5.99755024
2005 Q1,NSWNthCo,8.561084413500001
2005 Q2,NSWNthCo,5.1777180905
2005 Q3,NSWNthCo,5.061627523299999
2005 Q4,NSWNthCo,5.1317934906
2006 Q1,NSWNthCo,7.948298965
2006 Q2,NSWNthCo,6.220572149
2006 Q3,NSWNthCo,5.720923248
2006 Q4,NSWNthCo,5.861450471
2007 Q1,NSWNthCo,8.4929110516
2007 Q2,NSWNthCo,5.6385429601
2007 Q3,NSWNthCo,5.2069026449
2007 Q4,NSWNthCo,6.495867281200001
2008 Q1,NSWNthCo,8.859705051999999
2008 Q2,NSWNthCo,5.1696164927
2008 Q3,NSWNthCo,4.6773354324000005
2008 Q4,NSWNthCo,6.0631736447
2009 Q1,NSWNthCo,8.3960698536
2009 Q2,NSWNthCo,4.7013955330999995
2009 Q3,NSWNthCo,4.7020307055
2009 Q4,NSWNthCo,6.590312614
2010 Q1,NSWNthCo,7.6749298901000005
2010 Q2,NSWNthCo,4.8861404891
2010 Q3,NSWNthCo,5.6014507477999995
2010 Q4,NSWNthCo,5.6818853405
2011 Q1,NSWNthCo,8.297531605800001
2011 Q2,NSWNthCo,6.0036093396
2011 Q3,NSWNthCo,5.0430165599
2011 Q4,NSWNthCo,6.1416923945
2012 Q1,NSWNthCo,8.2306579564
2012 Q2,NSWNthCo,5.2153094043
2012 Q3,NSWNthCo,5.6805821001000005
2012 Q4,NSWNthCo,6.8185129932
2013 Q1,NSWNthCo,7.7642699322999995
2013 Q2,NSWNthCo,5.2726028288
2013 Q3,NSWNthCo,5.2543575449
2013 Q4,NSWNthCo,6.5219791206
2014 Q1,NSWNthCo,8.563474331199998
2014 Q2,NSWNthCo,6.0059107861
2014 Q3,NSWNthCo,5.8468729335
2014 Q4,NSWNthCo,5.7902886435
2015 Q1,NSWNthCo,7.8757250582
2015 Q2,NSWNthCo,6.021249171
2015 Q3,NSWNthCo,5.4864287051
2015 Q4,NSWNthCo,6.8181651733
2016 Q1,NSWNthCo,9.945415088199999
2016 Q2,NSWNthCo,6.664099360500001
2016 Q3,NSWNthCo,5.9784578276
2016 Q4,NSWNthCo,7.3620449339
1998 Q1,NSWSthCo,5.818028804
1998 Q2,NSWSthCo,2.4664367059
1998 Q3,NSWSthCo,1.9280528335
1998 Q4,NSWSthCo,2.7975559735
1999 Q1,NSWSthCo,4.8536806796
1999 Q2,NSWSthCo,2.759843103
1999 Q3,NSWSthCo,2.0418266248
1999 Q4,NSWSthCo,2.6506772206
2000 Q1,NSWSthCo,5.367951355
2000 Q2,NSWSthCo,3.4607945337
2000 Q3,NSWSthCo,1.6061728533000001
2000 Q4,NSWSthCo,2.5632538883000002
2001 Q1,NSWSthCo,4.9138456938
2001 Q2,NSWSthCo,3.143754048
2001 Q3,NSWSthCo,1.7760689651000001
2001 Q4,NSWSthCo,2.4379883115
2002 Q1,NSWSthCo,4.503677562199999
2002 Q2,NSWSthCo,2.7389893225
2002 Q3,NSWSthCo,2.597074341
2002 Q4,NSWSthCo,3.0361038506
2003 Q1,NSWSthCo,5.347348569599999
2003 Q2,NSWSthCo,2.4684390207
2003 Q3,NSWSthCo,1.8395350605
2003 Q4,NSWSthCo,2.790800558
2004 Q1,NSWSthCo,5.079241473
2004 Q2,NSWSthCo,2.2185871578
2004 Q3,NSWSthCo,1.9741401054999999
2004 Q4,NSWSthCo,2.4473963381
2005 Q1,NSWSthCo,5.1136888233999995
2005 Q2,NSWSthCo,1.8481871163999999
2005 Q3,NSWSthCo,1.7416601929000002
2005 Q4,NSWSthCo,2.3480972056000002
2006 Q1,NSWSthCo,5.067586035000001
2006 Q2,NSWSthCo,2.359089016
2006 Q3,NSWSthCo,1.7990493429999999
2006 Q4,NSWSthCo,2.705538984
2007 Q1,NSWSthCo,4.059227991899999
2007 Q2,NSWSthCo,2.4222432441
2007 Q3,NSWSthCo,1.5719162791
2007 Q4,NSWSthCo,2.1235891187
2008 Q1,NSWSthCo,5.057994997800001
2008 Q2,NSWSthCo,2.225727241
2008 Q3,NSWSthCo,1.6886075339
2008 Q4,NSWSthCo,2.5510461768
2009 Q1,NSWSthCo,4.6428893396
2009 Q2,NSWSthCo,2.1226352331
2009 Q3,NSWSthCo,1.2608963537
2009 Q4,NSWSthCo,2.394690798
2010 Q1,NSWSthCo,4.6382318937
2010 Q2,NSWSthCo,1.8698049693999998
2010 Q3,NSWSthCo,1.5857820635
2010 Q4,NSWSthCo,2.2878081107
2011 Q1,NSWSthCo,4.553495719
2011 Q2,NSWSthCo,2.2106994555
2011 Q3,NSWSthCo,1.9718814369
2011 Q4,NSWSthCo,1.9905918267
2012 Q1,NSWSthCo,4.5478329954
2012 Q2,NSWSthCo,2.2162563298
2012 Q3,NSWSthCo,1.4635971793000002
2012 Q4,NSWSthCo,2.3033887414
2013 Q1,NSWSthCo,5.027767337299999
2013 Q2,NSWSthCo,2.3318583285999996
2013 Q3,NSWSthCo,2.0278621661
