index,value
1956 Jan,1254
1956 Feb,1290
1956 Mar,1379
1956 Apr,1346
1956 May,1535
1956 Jun,1555
1956 Jul,1655
1956 Aug,1651
1956 Sep,1500
1956 Oct,1538
1956 Nov,1486
1956 Dec,1394
1957 Jan,1409
1957 Feb,1387
1957 Mar,1543
1957 Apr,1502
1957 May,1693
1957 Jun,1616
1957 Jul,1841
1957 Aug,1787
1957 Sep,1631
1957 Oct,1649
1957 Nov,1586
1957 Dec,1500
1958 Jan,1497
1958 Feb,1463
1958 Mar,1648
1958 Apr,1595
1958 May,1777
1958 Jun,1824
1958 Jul,1994
1958 Aug,1835
1958 Sep,1787
1958 Oct,1699
1958 Nov,1633
1958 Dec,1645
1959 Jan,1597
1959 Feb,1577
1959 Mar,1709
1959 Apr,1756
1959 May,1936
1959 Jun,2052
1959 Jul,2105
1959 Aug,2016
1959 Sep,1914
1959 Oct,1925
1959 Nov,1824
1959 Dec,1765
1960 Jan,1721
1960 Feb,1752
1960 Mar,1914
1960 Apr,1857
1960 May,2159
1960 Jun,2195
1960 Jul,2287
1960 Aug,2276
1960 Sep,2096
1960 Oct,2055
1960 Nov,2004
1960 Dec,1924
1961 Jan,1851
1961 Feb,1839
1961 Mar,2019
1961 Apr,1937
1961 May,2270
1961 Jun,2251
1961 Jul,2382
1961 Aug,2364
1961 Sep,2129
1961 Oct,2110
1961 Nov,2072
1961 Dec,1980
1962 Jan,1995
1962 Feb,1932
1962 Mar,2171
1962 Apr,2162
1962 May,2489
1962 Jun,2424
1962 Jul,2641
1962 Aug,2630
1962 Sep,2324
1962 Oct,2412
1962 Nov,2284
1962 Dec,2186
1963 Jan,2184
1963 Feb,2144
1963 Mar,2379
1963 Apr,2383
1963 May,2717
1963 Jun,2774
1963 Jul,3051
1963 Aug,2891
1963 Sep,2613
1963 Oct,2600
1963 Nov,2493
1963 Dec,2410
1964 Jan,2390
1964 Feb,2463
1964 Mar,2616
1964 Apr,2734
1964 May,2970
1964 Jun,3125
1964 Jul,3342
1964 Aug,3207
1964 Sep,2964
1964 Oct,2919
1964 Nov,2764
1964 Dec,2732
1965 Jan,2622
1965 Feb,2698
1965 Mar,2950
1965 Apr,2895
1965 May,3200
1965 Jun,3408
1965 Jul,3679
1965 Aug,3473
1965 Sep,3154
1965 Oct,3107
1965 Nov,3052
1965 Dec,2918
1966 Jan,2786
1966 Feb,2739
1966 Mar,3125
1966 Apr,3033
1966 May,3486
1966 Jun,3661
1966 Jul,3927
1966 Aug,3851
1966 Sep,3456
1966 Oct,3390
1966 Nov,3280
1966 Dec,3166
1967 Jan,3080
1967 Feb,3069
1967 Mar,3340
1967 Apr,3310
1967 May,3798
1967 Jun,3883
1967 Jul,4191
1967 Aug,4213
1967 Sep,3766
1967 Oct,3628
1967 Nov,3520
1967 Dec,3322
1968 Jan,3250
1968 Feb,3287
1968 Mar,3552
1968 Apr,3440
1968 May,4153
1968 Jun,4265
1968 Jul,4655
1968 Aug,4492
1968 Sep,4051
1968 Oct,3967
1968 Nov,3807
1968 Dec,3639
1969 Jan,3647
1969 Feb,3560
1969 Mar,3929
