,Date,State,Description,Rural,Urban,Combined
0,2013-01-01,Bihar,Clothing and footwear,106.5,105.8,106.4
1,2013-02-01,Bihar,Clothing and footwear,107.4,105.8,107.2
2,2013-03-01,Bihar,Clothing and footwear,108.4,105.9,108.1
3,2013-04-01,Bihar,Clothing and footwear,109.2,106.0,108.8
4,2013-05-01,Bihar,Clothing and footwear,109.7,106.5,109.3
5,2013-06-01,Bihar,Clothing and footwear,110.7,106.9,110.2
6,2013-07-01,Bihar,Clothing and footwear,111.9,107.4,111.4
7,2013-08-01,Bihar,Clothing and footwear,112.9,107.7,112.3
8,2013-09-01,Bihar,Clothing and footwear,114.9,108.3,114.1
9,2013-10-01,Bihar,Clothing and footwear,115.9,108.9,115.1
10,2013-11-01,Bihar,Clothing and footwear,116.6,109.9,115.8
11,2013-12-01,Bihar,Clothing and footwear,117.9,110.6,117.0
12,2014-01-01,Bihar,Clothing and footwear,118.1,111.5,117.3
13,2014-02-01,Bihar,Clothing and footwear,118.4,112.0,117.6
14,2014-03-01,Bihar,Clothing and footwear,118.9,112.2,118.1
15,2014-04-01,Bihar,Clothing and footwear,119.4,112.4,118.6
16,2014-05-01,Bihar,Clothing and footwear,120.0,113.0,119.2
17,2014-06-01,Bihar,Clothing and footwear,120.6,113.4,119.7
18,2014-07-01,Bihar,Clothing and footwear,121.4,114.3,120.6
19,2014-08-01,Bihar,Clothing and footwear,122.2,114.0,121.2
20,2014-09-01,Bihar,Clothing and footwear,123.5,114.7,122.4
21,2014-10-01,Bihar,Clothing and footwear,124.5,115.4,123.4
22,2014-11-01,Bihar,Clothing and footwear,125.6,114.9,124.3
23,2014-12-01,Bihar,Clothing and footwear,126.3,115.2,125.0
24,2015-01-01,Bihar,Clothing and footwear,126.5,116.7,125.3
25,2015-02-01,Bihar,Clothing and footwear,126.9,118.1,125.8
26,2015-03-01,Bihar,Clothing and footwear,127.4,118.5,126.3
27,2015-04-01,Bihar,Clothing and footwear,127.5,118.9,126.5
28,2015-05-01,Bihar,Clothing and footwear,128.0,119.6,127.0
29,2015-06-01,Bihar,Clothing and footwear,129.5,119.5,128.3
30,2015-07-01,Bihar,Clothing and footwear,129.0,120.0,127.9
31,2015-08-01,Bihar,Clothing and footwear,129.9,120.3,128.8
32,2015-09-01,Bihar,Clothing and footwear,130.9,120.7,129.7
33,2015-10-01,Bihar,Clothing and footwear,131.8,121.6,130.6
34,2015-11-01,Bihar,Clothing and footwear,132.6,121.5,131.3
35,2015-12-01,Bihar,Clothing and footwear,132.7,122.2,131.4
36,2016-01-01,Bihar,Clothing and footwear,133.2,122.5,131.9
37,2016-02-01,Bihar,Clothing and footwear,133.6,122.8,132.3
38,2016-03-01,Bihar,Clothing and footwear,133.5,123.3,132.3
39,2016-04-01,Bihar,Clothing and footwear,134.1,123.5,132.8
40,2016-05-01,Bihar,Clothing and footwear,134.4,124.5,133.2
41,2016-06-01,Bihar,Clothing and footwear,134.8,124.7,133.6
42,2016-07-01,Bihar,Clothing and footwear,135.5,124.6,134.2
43,2016-08-01,Bihar,Clothing and footwear,135.9,124.8,134.6
44,2016-09-01,Bihar,Clothing and footwear,135.9,125.2,134.6
45,2016-10-01,Bihar,Clothing and footwear,136.5,125.5,135.2
46,2016-11-01,Bihar,Clothing and footwear,136.5,125.6,135.2
47,2016-12-01,Bihar,Clothing and footwear,137.2,125.9,135.8
48,2017-01-01,Bihar,Clothing and footwear,137.5,126.3,136.2
49,2017-02-01,Bihar,Clothing and footwear,137.6,126.3,136.2
50,2017-03-01,Bihar,Clothing and footwear,138.0,126.0,136.6
51,2017-04-01,Bihar,Clothing and footwear,138.7,126.2,137.2
52,2017-05-01,Bihar,Clothing and footwear,139.1,124.9,137.4
53,2017-06-01,Bihar,Clothing and footwear,139.3,126.2,137.7
54,2017-07-01,Bihar,Clothing and footwear,140.3,126.9,138.7
55,2017-08-01,Bihar,Clothing and footwear,141.3,127.7,139.7
56,2017-09-01,Bihar,Clothing and footwear,142.7,129.7,141.1
57,2017-10-01,Bihar,Clothing and footwear,144.1,129.7,142.4
58,2017-11-01,Bihar,Clothing and footwear,144.8,131.0,143.2
59,2017-12-01,Bihar,Clothing and footwear,145.6,132.9,144.1
60,2018-01-01,Bihar,Clothing and footwear,147.2,133.8,145.6
61,2018-02-01,Bihar,Clothing and footwear,147.1,134.0,145.5
62,2018-03-01,Bihar,Clothing and footwear,147.2,134.9,145.7
63,2018-04-01,Bihar,Clothing and footwear,148.6,135.7,147.1
64,2018-05-01,Bihar,Clothing and footwear,149.6,136.5,148.0
65,2018-06-01,Bihar,Clothing and footwear,150.4,135.8,148.7
66,2018-07-01,Bihar,Clothing and footwear,151.7,136.0,149.8
67,2018-08-01,Bihar,Clothing and footwear,152.4,136.5,150.5
68,2018-09-01,Bihar,Clothing and footwear,153.9,138.3,152.0
69,2018-10-01,Bihar,Clothing and footwear,154.7,138.8,152.8
70,2018-11-01,Bihar,Clothing and footwear,160.1,139.7,157.7
71,2018-12-01,Bihar,Clothing and footwear,157.6,140.9,155.6
72,2019-01-01,Bihar,Clothing and footwear,153.8,141.1,152.3
73,2019-02-01,Bihar,Clothing and footwear,152.8,140.5,151.3
74,2019-03-01,Bihar,Clothing and footwear,152.5,141.2,151.1
75,2019-04-01,Bihar,Clothing and footwear,152.4,141.3,151.1
76,2019-05-01,Bihar,Clothing and footwear,152.2,140.1,150.8
77,2019-06-01,Bihar,Clothing and footwear,151.5,141.5,150.3
78,2019-07-01,Bihar,Clothing and footwear,151.4,143.0,150.4
79,2019-08-01,Bihar,Clothing and footwear,151.2,143.5,150.3
80,2019-09-01,Bihar,Clothing and footwear,150.2,143.5,149.4
81,2019-10-01,Bihar,Clothing and footwear,149.4,141.9,148.5
82,2019-11-01,Bihar,Clothing and footwear,149.3,141.6,148.4
83,2019-12-01,Bihar,Clothing and footwear,149.8,142.1,148.9
84,2020-01-01,Bihar,Clothing and footwear,149.4,142.2,148.5
