,Store,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
2010-01-10,1,1453329.4999999998,22.16111111111111,2.603,,,,,,211.6719895,7.837999999999999,0.0,0.0,151315.0
2010-01-17,1,,,,,,,,,,,,,
2010-01-24,1,,,,,,,,,,,,,
2010-01-31,1,,,,,,,,,,,,,
2010-02-07,1,1594968.2799999998,16.81666666666667,2.719,,,,,,210.82044989999997,7.808,0.0,0.0,151315.0
2010-02-14,1,,,,,,,,,,,,,
2010-02-21,1,1611968.17,4.405555555555555,2.5140000000000002,,,,,,211.2891429,8.106,0.0,0.0,151315.0
2010-02-28,1,1409727.5900000003,8.127777777777778,2.5610000000000004,,,,,,211.3196429,8.106,0.0,0.0,151315.0
2010-03-07,1,,,,,,,,,,,,,
2010-03-14,1,1540163.53,27.33888888888889,2.577,,,,,,211.53124790000004,7.787000000000001,0.0,0.0,151315.0
2010-03-21,1,1472515.7899999996,12.544444444444444,2.72,,,,,,211.21563500000002,8.106,0.0,0.0,151315.0
2010-03-28,1,1404429.9200000004,10.805555555555555,2.7319999999999998,,,,,,211.0180424,8.106,0.0,0.0,151315.0
2010-04-04,1,,,,,,,,,,,,,
2010-04-11,1,1615524.71,27.05,2.705,,,,,,211.1764278,7.808,0.0,0.0,151315.0
2010-04-18,1,1466058.28,19.066666666666666,2.8080000000000003,,,,,,210.4887,7.808,0.0,0.0,151315.0
2010-04-25,1,1391256.12,18.24444444444445,2.795,,,,,,210.4391228,7.808,0.0,0.0,151315.0
2010-05-02,1,1425100.7100000004,19.672222222222214,2.78,,,,,,210.3895456,7.808,0.0,0.0,151315.0
2010-05-09,1,1554806.68,8.055555555555555,2.625,,,,,,211.3501429,8.106,0.0,0.0,151315.0
2010-05-16,1,1551659.279999999,14.855555555555556,2.6889999999999996,,,,,,211.95639390000002,7.837999999999999,0.0,0.0,151315.0
2010-05-23,1,1399662.0700000005,24.68888888888889,2.826,,,,,,210.6170934,7.808,0.0,0.0,151315.0
2010-05-30,1,1432069.9500000004,26.91111111111111,2.759,,,,,,210.89676060000002,7.808,0.0,0.0,151315.0
2010-06-06,1,,,,,,,,,,,,,
2010-06-13,1,1605491.7799999998,30.644444444444442,2.627,,,,,,211.5046621,7.787000000000001,0.0,0.0,151315.0
2010-06-20,1,1503284.0599999996,28.95000000000001,2.637,,,,,,211.4537719,7.808,0.0,0.0,151315.0
2010-06-27,1,1422711.5999999996,29.077777777777786,2.653,,,,,,211.33865260000002,7.808,0.0,0.0,151315.0
2010-07-04,1,,,,,,,,,,,,,
2010-07-11,1,1603955.1200000003,22.527777777777786,2.835,,,,,,210.33996839999998,7.808,0.0,0.0,151315.0
2010-07-18,1,1448938.9200000004,28.41666666666667,2.623,,,,,,211.10038540000002,7.787000000000001,0.0,0.0,151315.0
2010-07-25,1,1385065.2000000004,28.53333333333333,2.608,,,,,,211.2351443,7.787000000000001,0.0,0.0,151315.0
2010-08-01,1,1371986.6,27.68888888888889,2.64,,,,,,211.36990319999995,7.787000000000001,0.0,0.0,151315.0
2010-08-08,1,,,,,,,,,,,,,
2010-08-15,1,1508239.93,17.73888888888889,2.633,,,,,,211.74675440000001,7.837999999999999,0.0,0.0,151315.0
2010-08-22,1,1513080.49,30.36111111111111,2.6639999999999997,,,,,,211.60336329999998,7.787000000000001,0.0,0.0,151315.0
2010-08-29,1,1449142.9200000004,29.56666666666667,2.6189999999999998,,,,,,211.5673056,7.787000000000001,0.0,0.0,151315.0
2010-09-05,1,1545418.5300000003,18.811111111111114,2.77,,,,,,210.62285740000002,7.808,0.0,0.0,151315.0
2010-09-12,1,1546074.1799999997,26.93333333333333,2.642,,,,,,211.108414,7.787000000000001,0.0,0.0,151315.0
2010-09-19,1,1430378.67,27.83888888888889,2.582,,,,,,211.5224596,7.787000000000001,0.0,0.0,151315.0
2010-09-26,1,1351791.03,27.18888888888889,2.6239999999999997,,,,,,211.59722459999998,7.787000000000001,0.0,0.0,151315.0
2010-10-03,1,,,,,,,,,,,,,
2010-10-10,1,1507460.6900000004,25.93888888888889,2.565,,,,,,211.49519019999997,7.787000000000001,1.0,0.0,151315.0
2010-10-17,1,1682614.26,7.96111111111111,2.843,,,,,,211.4659526,7.837999999999999,0.0,0.0,151315.0
2010-10-24,1,1345454.0,21.033333333333328,2.725,,,,,,211.8612937,7.837999999999999,0.0,0.0,151315.0
2010-10-31,1,1384209.2200000002,20.911111111111108,2.716,,,,,,211.9088438,7.837999999999999,0.0,0.0,151315.0
2010-11-07,1,1542561.09,26.90555555555556,2.668,,,,,,211.4560951,7.808,0.0,0.0,151315.0
2010-11-14,1,,,,,,,,,,,,,
2010-11-21,1,1483784.1800000006,10.783333333333333,2.7710000000000004,,,,,,211.88967369999997,7.837999999999999,0.0,0.0,151315.0
2010-11-28,1,1955624.11,18.066666666666666,2.735,,,,,,211.74843330000002,7.837999999999999,1.0,0.0,151315.0
2010-12-05,1,1641957.4399999997,3.6166666666666663,2.548,,,,,,211.24216980000003,8.106,1.0,0.0,151315.0
2010-12-12,1,1494479.4899999998,15.33888888888889,2.728,,,,,,212.003944,7.837999999999999,0.0,0.0,151315.0
2010-12-19,1,1891034.929999999,9.911111111111113,2.8689999999999998,,,,,,211.40531239999999,7.837999999999999,0.0,0.0,151315.0
2010-12-26,1,2387950.2,11.294444444444444,2.886,,,,,,211.4051222,7.837999999999999,0.0,0.0,151315.0
2011-01-02,1,1367320.0099999998,9.127777777777778,2.943,,,,,,211.4049321,7.837999999999999,1.0,0.0,151315.0
2011-01-09,1,1495064.75,15.094444444444447,3.5239999999999996,,,,,,214.8371664,7.682,0.0,0.0,151315.0
2011-01-16,1,1391013.9599999995,1.888888888888888,2.983,,,,,,211.4574109,7.742000000000001,0.0,0.0,151315.0
2011-01-23,1,1327405.4200000002,6.688888888888887,3.016,,,,,,211.82723430000004,7.742000000000001,0.0,0.0,151315.0
2011-01-30,1,1316899.31,6.572222222222222,3.01,,,,,,212.19705770000002,7.742000000000001,0.0,0.0,151315.0
2011-02-06,1,,,,,,,,,,,,,
2011-02-13,1,1550229.2200000002,31.016666666666666,3.533,,,,,,215.7971409,7.9620000000000015,0.0,0.0,151315.0
2011-02-20,1,1686842.7799999998,14.088888888888887,3.045,,,,,,213.2478853,7.742000000000001,0.0,0.0,151315.0
