Date,open,high,low,close,volume,Name
2013-02-08,65.07,66.695,65.07,66.64,3602500.0,EOG
2013-02-11,66.645,66.8425,66.06,66.67,3396172.0,EOG
2013-02-12,66.75,67.345,66.4,67.05,3462338.0,EOG
2013-02-13,67.05,67.2,66.35,66.8,3147304.0,EOG
2013-02-14,69.035,69.1,66.54,66.665,5911818.0,EOG
2013-02-15,66.63,67.0,63.89,64.595,6349340.0,EOG
2013-02-18,,,,,,EOG
2013-02-19,65.28,65.79,65.02,65.7,3935220.0,EOG
2013-02-20,65.715,65.87,63.66,63.695,4943582.0,EOG
2013-02-21,63.245,63.53,61.775,62.02,5828468.0,EOG
2013-02-22,62.5,62.92,61.845,62.67,4546082.0,EOG
2013-02-25,62.835,63.48,60.825,60.885,5190652.0,EOG
2013-02-26,61.185,61.925,60.38,61.75,3928572.0,EOG
2013-02-27,61.555,63.565,61.385,63.46,4719778.0,EOG
2013-02-28,63.22,63.98,62.8,62.855,4327516.0,EOG
2013-03-01,62.32,62.675,61.115,61.5,5726840.0,EOG
2013-03-04,61.39,61.44,60.5,60.895,3752444.0,EOG
2013-03-05,61.54,62.525,61.21,62.35,3914080.0,EOG
2013-03-06,62.59,62.975,62.16,62.8,4088744.0,EOG
2013-03-07,62.875,64.1155,62.685,63.78,2442506.0,EOG
2013-03-08,64.095,64.46,63.745,64.34,2449376.0,EOG
2013-03-11,64.165,64.685,63.7055,64.33,2083968.0,EOG
2013-03-12,64.75,65.2,64.56,65.04,2585508.0,EOG
2013-03-13,65.0,65.5885,64.745,64.94,2634902.0,EOG
2013-03-14,65.245,66.005,65.135,65.915,2847736.0,EOG
2013-03-15,65.735,66.42,65.205,65.21,4977548.0,EOG
2013-03-18,64.455,65.21,64.16,64.465,2773752.0,EOG
2013-03-19,64.55,64.76,63.355,63.635,2508450.0,EOG
2013-03-20,64.18,64.399,63.085,63.12,3784720.0,EOG
2013-03-21,62.635,63.425,61.925,61.95,4027588.0,EOG
2013-03-22,62.22,62.535,61.81,62.49,2767542.0,EOG
2013-03-25,62.885,63.4,61.515,61.96,3086834.0,EOG
2013-03-26,62.24,64.695,62.185,64.45,4867882.0,EOG
2013-03-27,63.945,64.335,63.095,64.1,3677384.0,EOG
2013-03-28,64.085,64.575,63.715,64.035,3040394.0,EOG
2013-03-29,,,,,,EOG
2013-04-01,64.035,64.415,63.315,64.255,2257386.0,EOG
2013-04-02,64.4,65.025,64.0175,64.525,3105046.0,EOG
2013-04-03,64.525,64.71,62.875,63.05,3338488.0,EOG
2013-04-04,63.035,63.035,61.315,61.43,4745632.0,EOG
2013-04-05,60.5,62.435,60.38,62.375,4257046.0,EOG
2013-04-08,62.445,63.61,62.265,63.445,2525072.0,EOG
2013-04-09,63.535,64.605,63.1,64.125,2289378.0,EOG
2013-04-10,64.28,65.1,64.24,64.31,2723054.0,EOG
2013-04-11,64.505,64.83,63.86,64.13,2956636.0,EOG
2013-04-12,63.65,63.9,62.005,62.065,4052180.0,EOG
2013-04-15,61.18,61.185,58.065,58.095,5775660.0,EOG
2013-04-16,58.915,59.82,57.91,59.575,4536828.0,EOG
2013-04-17,58.705,58.93,56.73,57.41,6131196.0,EOG
2013-04-18,57.695,57.98,56.025,57.655,6898118.0,EOG
2013-04-19,58.08,58.14,56.465,56.72,4945884.0,EOG
2013-04-22,56.975,58.41,56.755,58.2,4328970.0,EOG
2013-04-23,58.45,58.69,57.635,58.5,4434494.0,EOG
2013-04-24,58.52,60.225,58.5,59.965,3837856.0,EOG
2013-04-25,60.08,61.765,59.68,60.93,4522372.0,EOG
2013-04-26,60.85,60.955,59.5,59.56,4677518.0,EOG
2013-04-29,60.25,61.36,59.94,60.965,2326786.0,EOG
2013-04-30,60.9,61.37,60.295,60.58,3568230.0,EOG
2013-05-01,60.195,60.195,58.88,59.415,3678368.0,EOG
2013-05-02,59.625,60.131,59.0,59.835,3080348.0,EOG
2013-05-03,60.7,62.1,60.7,61.99,4334310.0,EOG
2013-05-06,62.3,63.365,61.63,63.02,5603920.0,EOG
2013-05-07,66.895,68.98,66.48,67.845,10438772.0,EOG
2013-05-08,68.02,69.388,67.96,68.95,6411304.0,EOG
2013-05-09,69.405,69.5,67.765,68.04,5611232.0,EOG
2013-05-10,67.745,67.745,65.8505,66.79,4900074.0,EOG
2013-05-13,66.41,67.27,66.155,66.83,3210106.0,EOG
2013-05-14,67.0,68.485,66.91,68.335,3957874.0,EOG
2013-05-15,68.245,68.82,67.025,67.345,4217718.0,EOG
2013-05-16,67.255,67.46,66.37,66.61,3960190.0,EOG
2013-05-17,66.9,67.945,66.755,67.625,5240938.0,EOG
2013-05-20,67.685,68.575,67.435,67.805,4074758.0,EOG
2013-05-21,67.89,68.1325,67.025,67.14,2490174.0,EOG
2013-05-22,67.08,67.765,64.91,65.465,4033238.0,EOG
2013-05-23,64.485,65.82,64.115,65.7,3610578.0,EOG
2013-05-24,64.865,65.475,64.315,65.415,2410874.0,EOG
2013-05-27,,,,,,EOG
2013-05-28,66.23,66.625,64.755,65.56,3505826.0,EOG
2013-05-29,65.17,66.71,65.06,66.415,3149460.0,EOG
2013-05-30,66.165,66.97,65.4475,66.345,2435112.0,EOG
2013-05-31,65.865,66.2975,64.545,64.55,3436724.0,EOG
2013-06-03,65.075,66.065,64.86,65.875,2904720.0,EOG
2013-06-04,65.735,66.32,65.165,66.08,3553470.0,EOG
2013-06-05,65.83,65.985,64.245,64.26,2889650.0,EOG
2013-06-06,64.455,65.325,63.76,65.32,2993084.0,EOG
2013-06-07,65.55,66.8227,65.1,66.34,2235870.0,EOG
2013-06-10,66.165,66.3,65.575,65.81,1533500.0,EOG
2013-06-11,64.645,65.16,64.12,64.555,2794426.0,EOG
2013-06-12,65.63,65.885,64.74,64.815,2709366.0,EOG
2013-06-13,64.84,66.75,64.675,66.665,3135032.0,EOG
2013-06-14,66.805,66.805,65.565,65.87,2687614.0,EOG
2013-06-17,66.6,67.17,66.08,66.665,2379340.0,EOG
2013-06-18,66.75,67.98,66.5702,67.51,2802308.0,EOG
2013-06-19,67.485,68.995,67.39,67.795,3409064.0,EOG
2013-06-20,66.86,66.945,64.8955,65.495,4400090.0,EOG
2013-06-21,66.12,66.1975,64.285,65.2,4787910.0,EOG
2013-06-24,64.445,64.73,62.265,63.705,3961412.0,EOG
2013-06-25,64.51,65.55,64.11,65.075,3443842.0,EOG
2013-06-26,65.595,66.275,64.765,65.925,2506058.0,EOG
2013-06-27,66.58,67.04,65.36,65.505,3611420.0,EOG
2013-06-28,65.215,66.495,65.01,65.84,3427256.0,EOG
2013-07-01,66.895,68.215,66.62,67.655,3232594.0,EOG
2013-07-02,67.62,69.635,67.62,68.94,4339992.0,EOG
2013-07-03,69.0,69.25,68.405,69.09,1709298.0,EOG
2013-07-04,,,,,,EOG
2013-07-05,69.53,70.32,69.315,70.2,2281490.0,EOG
2013-07-08,70.75,71.265,69.505,69.88,3430316.0,EOG
2013-07-09,70.475,71.235,70.195,71.11,3547294.0,EOG
2013-07-10,71.345,71.84,70.815,71.135,3534520.0,EOG
2013-07-11,72.0,73.395,71.445,71.775,5601574.0,EOG
2013-07-12,71.55,72.385,70.955,72.355,3773448.0,EOG
2013-07-15,72.315,72.8076,71.2925,71.77,3462344.0,EOG
2013-07-16,71.89,72.7675,71.875,72.28,3735922.0,EOG
2013-07-17,72.525,73.21,72.325,72.915,2746430.0,EOG
2013-07-18,73.21,74.135,73.11,73.5,3070432.0,EOG
2013-07-19,73.905,74.35,73.255,74.335,2742446.0,EOG
2013-07-22,74.315,75.025,73.77,74.745,3240978.0,EOG
2013-07-23,74.81,74.99,74.0062,74.32,3267206.0,EOG
2013-07-24,74.545,74.57,71.58,72.035,6075692.0,EOG
2013-07-25,72.035,73.7,72.0,73.685,3924742.0,EOG
2013-07-26,73.12,73.36,72.12,72.87,2974548.0,EOG
2013-07-29,72.66,72.76,71.935,72.355,1627300.0,EOG
2013-07-30,72.525,72.89,70.775,72.05,3268352.0,EOG
2013-07-31,72.31,74.085,72.31,72.745,3469416.0,EOG
2013-08-01,73.785,76.455,73.785,76.035,3997024.0,EOG
2013-08-02,75.38,76.605,75.125,76.515,2813110.0,EOG
2013-08-05,76.47,77.52,76.075,77.09,3573944.0,EOG
2013-08-06,77.05,77.455,75.6525,76.61,4952662.0,EOG
2013-08-07,80.155,80.735,77.645,78.11,9414056.0,EOG
2013-08-08,78.93,80.125,78.155,79.29,4722576.0,EOG
2013-08-09,79.33,79.985,79.0,79.42,3664428.0,EOG
2013-08-12,79.08,80.225,78.73,79.38,4004378.0,EOG
2013-08-13,79.5,79.577,78.38,79.12,2282664.0,EOG
2013-08-14,79.06,79.45,78.0616,78.2,2548278.0,EOG
2013-08-15,77.77,78.89,77.145,78.295,2551442.0,EOG
2013-08-16,77.765,78.445,77.155,77.745,2501962.0,EOG
2013-08-19,77.76,78.06,76.27,76.345,2752712.0,EOG
2013-08-20,76.35,77.945,76.0805,77.31,2398292.0,EOG
2013-08-21,77.185,77.185,75.695,75.92,2361658.0,EOG
2013-08-22,76.365,77.68,76.225,77.2,1462944.0,EOG
2013-08-23,77.2,78.395,76.77,78.31,2086048.0,EOG
2013-08-26,78.63,79.805,78.415,78.555,2213944.0,EOG
2013-08-27,78.08,79.2815,78.0,78.145,2277086.0,EOG
2013-08-28,78.47,80.6585,78.415,79.73,3517860.0,EOG
2013-08-29,79.365,79.65,78.34,78.545,1990738.0,EOG
2013-08-30,78.75,79.16,78.145,78.525,2166206.0,EOG
2013-09-02,,,,,,EOG
2013-09-03,79.73,80.2458,78.525,79.215,2207682.0,EOG
2013-09-04,78.745,80.505,78.745,80.265,2611720.0,EOG
2013-09-05,80.61,81.31,80.475,80.715,1929822.0,EOG
2013-09-06,81.285,82.165,80.29,80.86,3772484.0,EOG
2013-09-09,81.55,82.0,81.085,81.825,3750896.0,EOG
2013-09-10,81.75,82.36,80.465,81.75,3420506.0,EOG
2013-09-11,81.725,83.685,81.42,83.575,3613686.0,EOG
2013-09-12,83.77,84.385,83.5,83.995,3130272.0,EOG
2013-09-13,83.875,84.07,83.05,83.22,2089402.0,EOG
2013-09-16,83.77,83.995,82.54,82.9,2470784.0,EOG
2013-09-17,83.255,84.18,82.8942,83.885,2069828.0,EOG
2013-09-18,83.63,86.18,83.6,85.895,2870278.0,EOG
2013-09-19,86.05,86.405,84.675,85.365,2123292.0,EOG
2013-09-20,85.25,85.765,84.265,84.435,3687532.0,EOG
2013-09-23,84.285,84.855,84.055,84.43,2651948.0,EOG
2013-09-24,84.705,86.96,84.31,86.045,4202854.0,EOG
2013-09-25,86.045,86.6445,85.365,85.69,3507350.0,EOG
2013-09-26,85.86,86.085,84.91,86.045,1933520.0,EOG
2013-09-27,85.615,85.83200000000002,84.9,85.365,1660594.0,EOG
2013-09-30,83.78,85.17,83.56,84.64,2593748.0,EOG
2013-10-01,84.305,86.415,84.275,86.075,2809172.0,EOG
2013-10-02,85.935,86.18,84.59,86.18,2717644.0,EOG
2013-10-03,85.975,86.115,84.995,85.9,2515424.0,EOG
2013-10-04,85.96,87.4308,85.27,87.295,3206438.0,EOG
2013-10-07,86.105,87.105,85.6255,86.415,3423748.0,EOG
2013-10-08,86.17,87.325,85.205,85.73,3554166.0,EOG
2013-10-09,86.165,86.78,84.8,85.76,3839628.0,EOG
2013-10-10,86.695,87.47,86.47,87.43,3032676.0,EOG
2013-10-11,87.16,90.475,87.125,89.495,3899760.0,EOG
2013-10-14,88.68,90.54,88.165,90.53,2461212.0,EOG
2013-10-15,90.125,90.99,89.5,89.985,3036934.0,EOG
2013-10-16,91.24,92.935,90.735,91.145,4577118.0,EOG
2013-10-17,90.84,91.2,89.65,90.695,4643440.0,EOG
2013-10-18,91.33,92.085,90.42,91.895,4301966.0,EOG
2013-10-21,91.5,92.75,91.325,92.16,2404934.0,EOG
2013-10-22,93.395,94.15,91.79,92.575,3929960.0,EOG
2013-10-23,91.56,91.56,88.255,89.22,5441464.0,EOG
2013-10-24,89.03,91.2825,88.055,90.715,4081906.0,EOG
2013-10-25,91.175,92.045,90.645,91.72,2583834.0,EOG
2013-10-28,91.915,91.95,90.9375,91.21,1835056.0,EOG
2013-10-29,91.435,92.885,91.155,92.54,2861722.0,EOG
2013-10-30,93.16,93.425,89.445,90.165,3914916.0,EOG
2013-10-31,89.99,90.455,88.355,89.2,3954310.0,EOG
2013-11-01,89.305,90.015,87.70100000000002,89.49,3633164.0,EOG
2013-11-04,90.235,91.8,89.8648,91.73,2737282.0,EOG
2013-11-05,91.67,91.67,89.76,89.865,3686698.0,EOG
2013-11-06,90.665,91.45,87.97,88.32,4661028.0,EOG
2013-11-07,89.655,90.12,82.5255,85.79,9039068.0,EOG
